,Sub Division,Year of Installation,Project Name,Meter Installation Date,Village,PV Cap. from Form,Ref. DC V,Actual DC V,String 1: DC V,String 1: DC A,String 2: DC V,String 2: DC A,AC V,AC A,Power (W),E-Today (kWh),E-Total (kWh),Gen. in Solar meter (kWh) ,Avg. Solar generation per kW,Verified,Current Status of Inverter,Check List 1: Connection tightness of AC/DC box is ok?,Check List 2: Tightness nearer to meter connection is ok?,Check List 3: Connection of Earthing & L.A. is ok?,Check List 4: DC/AC connector is ok?,Check List 5: Wire Dressing is ok?,Check List 6: Wifi Connection is ok?,Check List 7: Tightness of U & Z clamp is ok?,Check List 8: Colour of  Welding Joint is ok?,Check List 9: Concrete Block is there?,Check  List 10: Visual checking of all parts,Observation
948,SAROLI SD,2018-19,2018-19RM0380,3/6/2019,Kumbhariya,3.25,300,332.0,332.0,0.6,0.0,0.0,236.0,1.2,238.0,5,9579.0,10000.0,2.82,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Yes,Yes,"Ok,cebal ty correct "
949,SAROLI SD,2017-18,2017-18R0035,12/29/2017,Saroli,2.24,210,248.4,248.4,2.25,0.0,0.0,233.7,2.0,482.0,8.7,12385.0,12605.0,3.69,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Not required (જરૂર નથી),Yes,Need module cleaning on regular basis 
950,BHARUCH CITY EAST,2018-19,2018-19R0280,2/7/2019,Hari om complex,5.2,480,486.0,231.0,5.8,255.0,6.1,249.0,11.6,2784.0,19,12000.0,21761.0,3.69,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
951,BHARUCH CITY EAST,2018-19,2018-19R0271,2/12/2019,Hari om complex,2.275,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9609.0,3.74,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
952,BHARUCH CITY EAST,2018-19,2018-19R0278,2/7/2019,Hari om complex,2.925,270,289.0,289.0,5.2,0.0,0.0,246.0,6.3,1572.0,11,13000.0,13047.0,3.93,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
953,BHARUCH CITY EAST,2018-19,2018-19R0272,2/7/2019,Hari om comlex,2.275,210,227.0,227.0,5.0,0.0,0.0,248.0,4.6,1166.0,9.2,9742.0,9488.0,3.68,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ok
954,BHARUCH CITY EAST,2018-19,2018-19R0166,12/24/2018,Hari om comlex,5.2,480,522.0,267.0,9.3,255.0,9.5,255.0,9.6,2475.0,21,21000.0,22781.0,3.72,Done,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Yes,Yes,Ok
955,GODADRA SD,2019-20,2019-20R0621,6/15/2020,Pqrvatgaam,7.92,720,789.9,389.7,5.3,400.2,5.2,232.0,6.0,3953.0,5.1,17000.0,18104.0,3.56,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Ok,cebal ty correct "
956,GODADRA SD,2019-20,2019-20R0483,3/7/2020,Pqrvatgaam,9.9,900,1065.0,535.0,5.25,530.0,5.1,240.0,7.87,5594.0,9.9,26575.0,26264.0,3.58,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Ok,cebal ty correct "
957,GODADRA SD,2018-19,2018-19R0076,12/3/2018,Parvatgaam,9.75,900,495.0,495.0,13.7,0.0,0.0,247.0,8.6,6471.0,12,43000.0,44140.0,3.77,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Ok,cebal ty correct /sedaling correct ,"
