,Sub Division,Year of Installation,Project Name,Meter Installation Date,Village,PV Cap. from Form,Ref. DC V,Actual DC V,String 1: DC V,String 1: DC A,String 2: DC V,String 2: DC A,AC V,AC A,Power (W),E-Today (kWh),E-Total (kWh),Gen. in Solar meter (kWh) ,Avg. Solar generation per kW,Verified,Current Status of Inverter,Check List 1: Connection tightness of AC/DC box is ok?,Check List 2: Tightness nearer to meter connection is ok?,Check List 3: Connection of Earthing & L.A. is ok?,Check List 4: DC/AC connector is ok?,Check List 5: Wire Dressing is ok?,Check List 6: Wifi Connection is ok?,Check List 7: Tightness of U & Z clamp is ok?,Check List 8: Colour of  Welding Joint is ok?,Check List 9: Concrete Block is there?,Check  List 10: Visual checking of all parts,Observation
0,VASANA S_D,2018-19,2018-19R0273,1/28/2019,Gulab vatika vasana div,3.25,300,311.1,311.1,6.7,0.0,0.0,252.0,7.9,2426.0,7.1,6690.0,6690.0,2.31,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No need,Yes,System working fine
1,VASANA S_D,2018-19,2018-19R0216,2/23/2019,Vadodara,3.25,300,310.0,310.0,6.6,0.0,0.0,251.0,8.4,2122.0,11,11000.0,11000.0,3.91,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available,Yes,Yes,02 block concrete work panding,Yes,Concrete block work panding
2,VASANA S_D,2017-18,2017-18R0067,2/4/2018,Vadodara,1.92,180,183.4,183.4,7.01,0.0,0.0,256.0,4.5,1174.0,4.7,8821.0,8821.0,3.68,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi user ID not supported,Yes,Yes,Not applicable,Yes,Na
3,VASANA S_D,2019-20,2019-20R0252,1/8/2020,Vadodara,3.3,300,353.0,353.0,5.3,0.0,0.0,243.0,7.3,1858.0,11,7435.0,7435.0,4.12,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi not in range,Yes,Yes,03 block concrete work panding,Yes,Concrete work panding
4,VASANA S_D,2019-20,2019-20R0253,1/8/2020,Vadodara,3.3,300,338.0,338.0,5.4,0.0,0.0,248.0,7.3,1857.0,12,7251.0,7251.0,4.02,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi user name not supported,Yes,Yes,Yes,Yes,Na
5,AKOTA CITY S_D,2018-19,2018-19R0287,1/28/2019,Orchid bunglow,5.2,480,514.0,254.0,4.4,260.0,4.1,260.0,8.6,2980.0,19,18000.0,18000.0,3.87,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not working at residence,Yes,Yes,No need,Yes,Work fine
6,AKOTA CITY S_D,2018-19,2018-19R0155,12/11/2018,Orchid bunglow,2.925,270,319.0,319.0,4.3,0.0,0.0,252.0,5.5,1406.0,13,7102.0,7102.0,2.58,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No need,Yes,Normal 
7,AKOTA CITY S_D,2018-19,2018-19R0156,12/12/2018,Orchid bunglow,2.925,270,285.0,285.0,4.0,0.0,0.0,250.0,4.3,1150.0,12,3148.0,3148.0,1.14,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No need,Yes,Wifi configuration lost..re configured
8,AKOTA CITY S_D,2018-19,2018-19R0159,12/11/2018,Orchid,2.925,270,286.0,286.0,4.4,0.0,0.0,256.0,4.9,1270.0,12,7668.0,7668.0,2.78,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wifi data logger not working we have to change.
9,AKOTA CITY S_D,2018-19,2018-19R0157,12/12/2018,Orchid,4.55,420,466.0,220.0,2.0,246.0,1.9,247.0,1.5,518.0,19,11000.0,11000.0,2.57,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Panel not clean properly
10,AKOTA CITY S_D,2018-19,2018-19R0158,12/12/2018,Orchid,4.55,420,452.0,226.0,2.1,226.0,2.1,247.0,1.9,507.0,18,16000.0,16000.0,3.74,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Panel not clean
11,AKOTA CITY S_D,2018-19,2018-19R0353,2/7/2019,Orchid,4.55,420,553.0,275.0,1.4,278.0,1.5,246.0,1.4,355.0,20,16000.0,16000.0,3.98,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
12,AKOTA CITY S_D,2018-19,2018-19R0336,2/16/2019,Orchid,3.25,300,292.0,292.0,0.3,0.0,0.0,250.0,0.3,101.0,14,11000.0,11000.0,3.87,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
13,AKOTA CITY S_D,2018-19,2018-19R0288,2/7/2019,Orchid,3.25,300,273.0,273.0,0.1,0.0,0.0,245.0,0.2,74.0,13,4958.0,4958.0,1.73,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
14,AKOTA CITY S_D,2018-19,2018-19R0160,12/11/2018,Orchid,2.925,270,292.0,292.0,1.0,0.0,0.0,245.0,1.3,347.0,12,12000.0,12000.0,4.36,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extension wifi configured
15,GORVA CITY S_D,2019-20,2019-20R0666,6/5/2020,Gorva,2.97,270,308.0,308.0,2.3,0.0,0.0,256.0,2.7,620.0,1.2,4467.0,4467.0,3.75,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
16,GORVA CITY S_D,2019-20,2019-20R0676,6/5/2020,Gorva,2.97,270,360.0,360.0,2.6,0.0,0.0,252.0,3.1,783.0,1.4,4538.0,4538.0,3.81,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
17,GORVA CITY S_D,2019-20,2019-20R0204,5/20/2020,Gorva,3.3,300,340.0,340.0,2.9,0.0,0.0,259.0,3.8,950.0,1.7,5031.0,5031.0,3.66,Done,Normal,Yes,Yes,Yes,Yes,Yes,Installation left,Yes,Yes,Yes,Yes,Normal
18,GORVA CITY S_D,2019-20,2019-20R0210,3/5/2020,Gorva,2.97,270,288.0,288.0,1.7,0.0,0.0,245.0,2.0,475.0,1.3,6085.0,6085.0,4.16,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
19,GORVA CITY S_D,2019-20,2019-20R0145,12/27/2019,Gorva,2.31,210,235.0,235.0,3.7,0.0,0.0,250.0,3.5,866.0,1.5,5496.0,5496.0,4.23,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
20,GORVA CITY S_D,2019-20,2019-20R0471,3/13/2020,Gorva,3.3,300,325.0,325.0,5.8,0.0,0.0,257.0,7.3,1896.0,2.3,6464.0,6464.0,4.04,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
21,GORVA CITY S_D,2018-19,2018-19R0114,12/15/2018,Gorva,9.75,900,1008.0,504.0,10.2,504.0,10.2,251.0,8.1,6000.0,9.7,37000.0,37000.0,4.04,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
22,GOTRI CITY S_D,2018-19,2018-19R0294,2/9/2019,Gotri,2.6,240,257.0,257.0,2.8,0.0,0.0,259.0,2.1,767.0,3.3,8950.0,8950.0,3.9,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
23,GORVA CITY S_D,2019-20,2019-20R0191,6/6/2020,Gorva,2.97,270,305.0,305.0,1.6,0.0,0.0,262.0,1.9,480.0,9.2,3967.0,3967.0,3.34,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Normal
24,GOTRI CITY S_D,2019-20,2019-20R0186,1/18/2020,Pankaj society,2.97,270,310.0,310.0,3.8,0.0,0.0,262.0,4.0,1161.0,1,6285.0,6285.0,3.91,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not installed,Yes,Yes,Yes,Yes,Normal
25,GOTRI CITY S_D,2019-20,2019-20R0185,1/18/2020,Pankaj society,2.97,270,305.0,305.0,3.3,0.0,0.0,256.0,4.0,1091.0,1,6255.0,6255.0,3.89,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not installed,Yes,Yes,Yes,Yes,Normal
26,KAPODRA SD,2018-19,2018-19RM0374,4/2/2019,Kapodra,5.28,487.38,495.0,251.0,6.8,244.0,6.4,251.0,12.7,3243.0,4.7,15000.0,15000.0,3.41,Done,Normal,Yes,Yes,Yes,Yes,Corrected at site,Yes,Yes,Yes,No,Yes,Plant is ok
27,KAPODRA SD,2018-19,2018-19RM0375,4/2/2019,Kapodra,5.28,487.38,520.0,260.0,2.9,260.0,3.0,242.0,6.2,1524.0,5.2,16000.0,16000.0,3.64,Done,Normal,Yes,Yes,Yes,Yes,Correction done at site,Not in range,Yes,Colour required..,No,Yes,Required colour at welding joints
28,KAPODRA SD,2019-20,2019-20R0353,3/18/2020,Kapodra,7.92,720,804.0,402.0,2.7,402.0,2.7,236.0,3.1,2130.0,10.7,3101.5,3101.5,0.81,Done,Normal,Yes,Yes,Yes,Yes,Yes,No wifi,Yes,Yes,Not required,Yes,Check 7.92 system may be generation issue
29,KAPODRA SD,2019-20,2019-20R0354,2/29/2020,Kapodra,3.3,300,330.0,330.0,3.2,0.0,0.0,240.0,4.3,1097.0,4.1,5783.0,5783.0,3.51,Done,Normal,Yes,Yes,Yes,Yes,Yes,No wifi,Yes,Yes,Not required ,Yes,Ok
30,KAPODRA SD,2018-19,2018-19RM0377,6/11/2019,Kapodra,3.25,300,312.0,312.0,4.7,0.0,0.0,240.0,6.1,1577.0,4.5,8896.0,8896.0,3.59,Done,Normal,Yes,Yes,Yes,Yes,Yes, Not in range,Yes,Yes,2 required,Yes,Ac spd need to be replace
31,KAPODRA SD,2018-19,2018-19RM0370,3/9/2019,Kapodra,9.75,900,966.0,483.0,5.9,483.0,5.9,242.0,3.8,2620.0,15,27000.0,27000.0,3.24,Done,Normal,Yes,Yes,Yes,Yes,Pending/ Ladder not available,Yes,Yes,Required color,No,Yes,Wiring dressing required
32,KAPODRA SD,2019-20,2019-20R0304,3/10/2020,Kapodra,2.97,270,315.0,315.0,1.45,0.0,0.0,232.0,1.87,477.0,3.9,5667.0,5667.0,3.9,Faulty,Normal,Yes,Yes,Yes,Yes,Correction done at site,Not available ,Yes,Yes,Not required ,Yes,Pareshbhai plant generation  not ok
33,KAPODRA SD,2019-20,2019-20R0488,3/10/2020,Kapodra,2.97,270,329.0,329.0,2.39,0.0,0.0,233.0,3.25,773.0,9,5573.0,5573.0,3.84,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available ,Yes,Yes,Not required ,Yes,Ok
34,KAPODRA SD,2019-20,2019-20R0323,2/26/2020,Kapodra,2.97,270,314.0,314.0,1.41,0.0,0.0,234.0,1.5,365.0,9,5882.0,5882.0,3.95,Done,Normal,Yes,Yes,Yes,Yes,Correction done at site ,Yes,Yes,Yes,Not required ,Yes,Ok
35,KAPODRA SD,2018-19,2018-19R00142,3/7/2019,Kapodra,4.225,390,418.0,192.0,0.7,226.0,0.7,238.0,1.5,392.0,13,13000.0,13000.0,3.59,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available ,Yes,Color required,Not required ,Yes,Color required at welding joints
36,KAPODRA SD,2019-20,2019-20R0859,7/15/2020,Kapodra,3.3,300,310.0,310.0,0.5,0.0,0.0,238.0,0.6,151.0,10,4693.0,4693.0,3.93,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available ,Yes,Yes,2 blocks required,Yes,Ok
37,KAPODRA SD,2019-20,2019-20R0860,7/15/2020,Kapodra ,3.3,300,328.0,328.0,0.4,0.0,0.0,239.0,0.5,141.0,13,4229.0,4229.0,3.54,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available ,Yes,Yes,Not required on shed,Yes,Ok
38,KAPODRA SD,2019-20,2019-20R1000,7/15/2020,Kapodra,3.3,300,331.0,331.0,0.5,0.0,0.0,240.0,0.8,191.0,10,4369.0,4369.0,3.66,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available ,Yes,Yes,Not required ,Yes,Ok
39,YOGI CHOWK SD,2019-20,2019-20R0768,7/20/2020,Kapodra ,3.96,360,368.0,180.0,0.3,188.0,0.4,243.0,0.7,162.0,12,4960.0,4960.0,3.51,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not required ,Yes,Ok
40,GORVA CITY S_D,2019-20,2019-20R0826,8/28/2020,Vadodara,3.3,300,335.0,335.0,2.9,0.0,0.0,253.0,3.7,950.0,1,3893.0,3893.0,3.71,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi not available,Yes,Yes,Yes,Yes,Na
41,GORVA CITY S_D,2019-20,2019-20R0601,3/12/2020,Vadodara,3.3,300,338.0,338.0,4.3,0.0,0.0,256.0,5.0,1692.0,1.1,6391.0,6391.0,3.98,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na
42,GORVA CITY S_D,2019-20,2019-20R0809,9/18/2020,Vadodara,2.97,270,312.0,312.0,4.7,0.0,0.0,254.0,5.7,1384.0,1.7,3205.0,3205.0,3.63,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Na
43,GORVA CITY S_D,2019-20,2019-20R0398,1/29/2020,Vadodara,3.3,300,331.0,331.0,7.3,0.0,0.0,261.0,8.7,2367.0,2.7,7384.0,7384.0,4.22,Done,Normal,Yes,Flexible pipe laying is panding,"Pipe are yet to be laid near earthing road, structure earthing firing done",Yes,Yes,WiFi not available,Yes,Yes,Yes,Yes,Na
44,GOTRI CITY S_D,2019-20,2019-20R0934,9/4/2020,Vadodara,2.97,270,288.0,288.0,3.8,0.0,0.0,248.0,5.4,991.0,3.8,4106.0,4106.0,4.45,Done,Normal,Yes,Yes,Yes,Yes,Yes,Reconfiguration done,Yes,Yes,Not applicable,Yes,Na
45,GOTRI CITY S_D,2019-20,2019-20R0297,3/6/2020,Vadodara,2.97,270,359.0,359.0,3.9,0.0,0.0,267.0,7.4,1470.0,3.1,6092.0,6092.0,4.16,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na
46,GOTRI CITY S_D,2019-20,2019-20R0177,1/18/2020,Vadodara,2.97,270,292.0,292.0,4.4,0.0,0.0,255.0,4.2,1671.0,5.4,6812.0,6812.0,4.24,Done,Normal,Yes,Yes,Structure earthing fiting done,01 connector replace,Yes,Yes,Yes,Yes,Yes,Yes,Na
47,GOTRI CITY S_D,2019-20,2019-20R0209,1/1/2020,Vadodara,3.3,300,324.0,324.0,0.8,0.0,0.0,253.0,9.9,2509.0,7.4,7576.0,7576.0,4.11,Faulty,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na
48,GORVA CITY S_D,2017-18,2017-18R0082,3/28/2018,Vadodara,3.0,281.25,388.0,388.0,0.5,0.0,0.0,248.0,0.3,77.0,11.8,15082.0,15082.0,4.18,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi not available,Yes,Yes,Yes,Yes,Na
49,GORVA CITY S_D,2017-18,2017-18R0041,1/6/2018,Vadodara,5.0,468.75,462.0,231.0,0.26,231.0,0.26,237.0,0.5,99.0,15.2,18709.0,18709.0,2.92,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na
50,GOTRI CITY S_D,2017-18,2017-18R0069,2/6/2018,Vadodara,3.0,281.25,319.0,319.0,0.46,0.0,0.0,242.0,0.37,83.0,11.3,14333.0,14333.0,3.82,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na
51,SAROLI SD,2019-20,2019-20R0315,1/2/2020,Magob,5.28,480,538.0,267.0,0.5,271.0,0.4,239.0,1.5,361.0,4.9,11000.0,11000.0,3.73,Done,Normal,Yes,Yes,Yes,Yes,Done at site,Yes,Yes,Required color at joints,Not required ,Yes,Ok
52,SAROLI SD,2019-20,2019-20R0314,1/3/2020,Magob,5.28,480,555.0,279.0,1.9,276.0,1.9,248.0,4.4,1101.0,5,11000.0,11000.0,3.74,Done,Normal,Yes,Yes,Yes,Yes,Done at site,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Not required ,Yes,Sprinkle fitted by other party
53,SAROLI SD,2019-20,2019-20R0406,2/7/2020,Magob,5.28,480,554.0,276.0,3.8,278.0,2.68,253.0,6.5,1770.0,5.7,10413.0,10240.0,3.72,Done,Normal,Yes,Yes,Yes,Yes,Done at site,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Color required at joints,Not required ,Yes,Sprinkle fitted by other party
54,SAROLI SD,2019-20,2019-20R0449,1/3/2020,Magob,3.3,300,338.0,338.0,3.8,0.0,0.0,248.0,4.8,1231.0,3.3,6510.0,6536.0,3.56,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Not required,Yes,Ok
55,SAROLI SD,2019-20,2019-20R0759,8/26/2020,Magob,3.3,300,345.0,345.0,4.3,0.0,0.0,266.0,5.5,1376.0,3.5,3558.0,3588.0,3.39,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Not required ,Yes,Ok
56,SAROLI SD,2019-20,2019-20R0758,8/21/2020,Magob,3.3,300,330.0,330.0,5.4,0.0,0.0,256.0,7.3,1640.0,4.1,3827.0,3760.0,3.5,Done,Normal,Yes,Yes,Yes,Yes,Yes,Lagavanu baki che,Yes,Yes,Not required ,Yes,Ok
57,SAROLI SD,2019-20,2019-20R0757,8/26/2020,Magob,4.62,420,461.0,230.0,7.7,231.0,9.4,279.0,15.8,1970.0,5.6,5155.0,5290.0,3.57,Faulty,Normal,Yes,Yes,Yes,Yes,Done at site,Install wifi at convinience,Yes,Yes,Not required ,Yes,Ok
58,SAROLI SD,2019-20,2019-20R0614,3/19/2020,Magob,3.3,300,324.0,324.0,5.66,0.0,0.0,262.0,4.8,1459.0,5.5,5733.0,5902.0,3.72,Done,Normal,Yes,Yes,Yes,Yes,Done at site,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Required 7 blocks,Yes,Ok
59,SAROLI SD,2019-20,2019-20R0613,3/19/2020,Magob,3.3,300,375.0,375.0,6.42,0.0,0.0,273.0,10.0,1919.0,5.6,5627.0,5816.0,3.66,Done,Normal,Yes,Yes,Yes,Yes,Done at site,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Required 7 blocks,Yes,Ok
60,SAROLI SD,2019-20,2019-20R0612,3/19/2020,Magob,3.3,300,350.0,350.0,7.37,0.0,0.0,266.0,7.75,1968.0,6.2,5532.0,5652.0,3.56,Done,Normal,Yes,Yes,Yes,Yes,Done at site,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Required 7 blocks,Yes,Ok
61,VIDYANAGAR O&M SD,2019-20,2019-20R0673,3/24/2020,Anand,2.97,270,293.0,293.0,2.5,0.0,0.0,255.0,2.1,712.0,8,5884.0,5777.0,4.09,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Panding,Yes,Concrete block total 07 panding in pavitra appartement
62,VIDYANAGAR O&M SD,2019-20,2019-20R0610,8/7/2020,Anand,3.3,300,326.0,326.0,3.3,0.0,0.0,250.0,4.0,965.0,13,4257.0,4336.0,3.86,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Panding,Yes,Concrete block panding
63,VIDYANAGAR O&M SD,2019-20,2019-20R0602,3/18/2020,Anand,3.3,300,351.0,351.0,2.7,0.0,0.0,257.0,3.5,995.0,8.3,6313.0,6245.0,3.93,Done,Normal,Yes,Yes,Yes,Yes,Yes,Wifi Device install panding,Yes,Yes,Total 07 concrete block work panding in Pavitra apartment,Yes,Concrete block work panding
64,VIDYANAGAR O&M SD,2019-20,2019-20R0674,6/17/2020,Anand,3.3,300,328.0,328.0,3.2,0.0,0.0,256.0,4.7,1148.0,8.8,5105.0,5046.0,3.91,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Panding,Yes,Concrete block work panding
65,VIDYANAGAR O&M SD,2018-19,2018-19R0011,1/28/2019,Vidyanagar,5.2,480,466.0,219.0,7.9,247.0,7.8,265.0,13.6,3591.0,13,18000.0,17606.0,3.77,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,Not applicable,Yes,Na
66,VIDYANAGAR O&M SD,2018-19,2018-19R0012,1/28/2019,Vidyanagar,5.2,480,495.0,247.0,2.6,248.0,2.7,259.0,5.3,1349.0,15,18000.0,18288.0,3.92,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi device install panding,Yes,Yes,Not applicable,Yes,Plant running normal conditions
67,VIDYANAGAR O&M SD,2019-20,C003,6/12/2020,Anand,3.3,300,321.0,321.0,3.2,0.0,0.0,262.0,7.0,2026.0,9.6,5349.0,5237.0,4.01,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),01 panel u clamp tightness done,Yes,Not applicable,Yes,Plant running normal conditions
68,VIDYANAGAR O&M SD,2019-20,2019-20R0902,6/12/2020,Anand,3.3,300,233.0,233.0,0.1,0.0,0.0,252.0,0.3,55.0,13,4675.0,4716.0,3.61,Done,Normal,Yes,Yes,Yes,Yes,Yes,Wifi device install panding,Yes,Yes,Panding,Yes,02 Concrete block work panding
69,AKOTA CITY SD,2017-18,2017-18R0058,1/12/2018,Vadodara,2.56,240,270.0,270.0,6.07,0.0,0.0,249.0,6.5,1500.0,1.6,11792.0,12238.0,3.74,Done,Normal,Yes,Yes,Yes,Yes,Yes,Configuration panding because WiFi router password not supported,Yes,Required,Not applicable,Yes,Plant running normal conditions
70,PUNA,2019-20,2019-20R0739,8/19/2020,Puna simada surat,4.62,420,469.0,269.0,4.2,200.0,4.2,245.0,7.8,1887.0,3.8,5556.0,5673.0,3.73,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Yes,0,Yes,Ok
71,AKOTA CITY SD,2017-18,2017-18R0073,2/9/2018,Akota,1.92,180,215.0,215.0,7.0,0.0,0.0,242.0,6.12,1056.0,1.6,9574.0,9588.0,3.99,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Yes,Need paint job,No there,Yes,System working fine
72,AKOTA CITY SD,2017-18,2017-18R0027,12/28/2017,Akota,4.16,390,427.0,196.0,1.7,231.0,1.7,234.0,3.3,704.0,3.5,18792.0,18850.0,3.5,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Need paint job on pipe and corner,No need,Yes,Paint job needed there.
73,AKOTA CITY SD,2017-18,2017-18R0005,11/30/2017,Akota,4.16,390,411.0,221.0,8.6,190.0,8.0,255.0,11.0,3300.0,4,19228.0,19353.0,3.52,Done,Normal,Yes,Yes,Yes,Yes,Yes,Not available,Yes,Need paint,No need,Yes,All fine ..no data logger installed there.
74,SAYAN O&M SD,2018-19,2018-19R0243,2/20/2019,Sayan,3.25,300,355.0,355.0,5.7,0.0,0.0,254.0,8.3,2081.0,4.9,9791.0,1696.0,0.6,Faulty,Normal,Yes,Yes,Yes,Yes,Yes,"WIFI is available at home but the range does not come up to the inverter. (ઘર માં WIFI છે. પણ, રેનજ નથી આવતી ઇન્વર્ટર સુધી.)",Yes,Yes,Not required ,Yes,Need customer file
75,SAYAN O&M SD,2019-20,2019-20R0866,9/18/2020,Sayan,4.95,450,448.0,242.0,3.1,206.0,2.8,231.0,6.1,1844.0,10,5894.0,5668.0,3.83,Done,Normal,Yes,Yes,Yes,Yes,Done at site ,Yes,Yes,Yes,Yes,Yes,Ok
76,SAYAN O&M SD,2019-20,2019-20R0198,2/28/2020,Umra Sayan,4.62,420,562.0,336.0,3.5,226.0,3.5,246.0,7.6,1798.0,11,8520.0,8663.0,3.74,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not required ,Yes,Ok
77,SAYAN O&M SD,2019-20,2019-20R0167,2/28/2020,Umra Sayan,1.98,180,203.0,203.0,7.8,0.0,0.0,265.0,5.6,1449.0,4.9,3671.0,3765.0,3.79,Done,Normal,Yes,Yes,Yes,Yes,Done at site ,Yes,Yes,Yes,Yes,Yes,Ok
78,SAYAN O&M SD,2019-20,2019-20R0166,2/28/2020,Umra Sayan,3.3,300,319.0,319.0,6.7,0.0,0.0,252.0,8.4,2017.0,8.1,2549.0,6171.0,3.73,Done,Normal,Yes,Yes,Yes,Yes,Done at site,Yes,Yes,Yes,Yes,Yes,Ok
79,SAYAN O&M SD,2019-20,2019-20R0635,6/19/2020,Umra Sayan ,2.97,270,290.0,290.0,7.3,0.0,0.0,254.0,8.3,2093.0,9.4,4265.0,4251.0,3.67,Done,Normal,Yes,Yes,Yes,Yes,Done at site,Yes,Yes,Yes,Not required ,Yes,Ok
80,SAYAN O&M SD,2019-20,2019-20R0634,6/19/2020,Umra Sayan ,2.97,270,305.0,305.0,5.9,0.0,0.0,248.0,8.3,1755.0,9.2,4051.0,0.0,0,Faulty,Normal,Yes,Yes,Yes,Yes,Done at site ,Yes,Yes,Yes,Not required ,Yes,Ok
81,SAYAN O&M SD,2019-20,2019-20R1029,7/21/2020,Umra Sayan ,4.95,450,500.0,268.0,3.3,232.0,3.7,245.0,6.9,1645.0,16,5995.0,6081.0,3.43,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Pending,Yes,Ok
82,AKOTA CITY SD,2017-18,2017-18R0015,12/7/2017,Vadodara,2.24,210,233.0,233.0,2.4,0.0,0.0,239.0,2.12,536.0,0.9,11298.0,11655.0,3.96,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Panding ,Yes,01 block concrete work panding
83,AKOTA CITY SD,2018-19,2018-19R0012,1/28/2019,Vadodara,4.875,450,530.0,246.0,1.8,284.0,1.9,246.0,4.1,1122.0,3.6,13000.0,13034.0,2.98,Done,Normal,Yes,Yes,Yes,Yes,Yes,WiFi device install but configuration panding because WiFi password not supported,Yes,Yes,Yes,Yes,Plant running normal conditions
84,AKOTA CITY SD,2017-18,2017-18R0072,2/8/2018,Vadodara,3.0,281.25,310.0,310.0,4.4,0.0,0.0,549.0,5.1,1302.0,3.8,16046.0,16479.0,4.39,Done,Normal,Yes,Yes,Yes,Yes,Yes,WIFI not available at home (ઘર માં WIFI નથી.),Done,Yes,Panding,Yes,One U clamp tightness done
85,AKOTA CITY SD,2017-18,2017-18R0002,11/18/2017,Vadodara,2.24,210,225.0,225.0,3.5,0.0,0.0,246.0,2.37,591.0,7.4,10716.0,18279.0,6.12,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Plant running normal conditions
86,AKOTA CITY SD,2017-18,2017-18R0040,1/8/2018,Vadodara,2.88,270,308.0,308.0,3.8,0.0,0.0,250.0,3.7,757.0,8.6,13760.0,17065.0,4.62,Done,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Required,Not applicable,Yes,Plant running normal conditions
